# Wavelength (nm)	Counts
# Exptime(ms): 20
382.3705	2170.00
382.8800	2161.00
383.3893	2174.00
383.8986	2167.00
384.4077	2159.00
384.9168	2170.00
385.4257	2183.00
385.9346	2165.00
386.4433	2165.00
386.9519	2172.00
387.4604	2178.00
387.9688	2178.00
388.4771	2188.00
388.9852	2183.00
389.4933	2174.00
390.0013	2171.00
390.5091	2170.00
391.0168	2176.00
391.5245	2175.00
392.0320	2177.00
392.5394	2170.00
393.0467	2173.00
393.5539	2171.00
394.0610	2153.00
394.5679	2158.00
395.0748	2151.00
395.5816	2160.00
396.0882	2150.00
396.5948	2167.00
397.1012	2165.00
397.6075	2176.00
398.1137	2159.00
398.6198	2165.00
399.1258	2161.00
399.6317	2171.00
400.1375	2172.00
400.6431	2185.00
401.1487	2184.00
401.6541	2192.00
402.1595	2183.00
402.6647	2174.00
403.1698	2179.00
403.6748	2162.00
404.1797	2168.00
404.6845	2164.00
405.1892	2164.00
405.6938	2177.00
406.1983	2179.00
406.7026	2189.00
407.2069	2190.00
407.7110	2199.00
408.2150	2174.00
408.7189	2183.00
409.2228	2175.00
409.7265	2170.00
410.2301	2167.00
410.7335	2184.00
411.2369	2191.00
411.7402	2175.00
412.2433	2176.00
412.7464	2176.00
413.2493	2166.00
413.7522	2177.00
414.2549	2187.00
414.7575	2189.00
415.2600	2178.00
415.7624	2186.00
416.2647	2173.00
416.7669	2178.00
417.2689	2180.00
417.7709	2168.00
418.2727	2165.00
418.7745	2184.00
419.2761	2178.00
419.7776	2185.00
420.2790	2198.00
420.7803	2197.00
421.2815	2195.00
421.7826	2201.00
422.2836	2198.00
422.7845	2185.00
423.2852	2186.00
423.7859	2185.00
424.2864	2172.00
424.7868	2170.00
425.2872	2165.00
425.7874	2170.00
426.2875	2155.00
426.7875	2164.00
427.2874	2163.00
427.7871	2180.00
428.2868	2169.00
428.7864	2172.00
429.2858	2166.00
429.7852	2163.00
430.2844	2176.00
430.7835	2176.00
431.2825	2172.00
431.7814	2193.00
432.2802	2193.00
432.7789	2195.00
433.2775	2186.00
433.7760	2192.00
434.2743	2182.00
434.7726	2179.00
435.2707	2186.00
435.7687	2198.00
436.2667	2197.00
436.7645	2208.00
437.2622	2201.00
437.7598	2201.00
438.2573	2187.00
438.7546	2180.00
439.2519	2178.00
439.7491	2191.00
440.2461	2194.00
440.7431	2200.00
441.2399	2207.00
441.7366	2184.00
442.2332	2185.00
442.7297	2189.00
443.2261	2180.00
443.7224	2187.00
444.2186	2186.00
444.7147	2194.00
445.2106	2196.00
445.7065	2207.00
446.2022	2196.00
446.6979	2198.00
447.1934	2189.00
447.6888	2185.00
448.1841	2182.00
448.6793	2179.00
449.1744	2177.00
449.6694	2183.00
450.1643	2197.00
450.6590	2194.00
451.1537	2194.00
451.6482	2209.00
452.1426	2212.00
452.6370	2211.00
453.1312	2192.00
453.6253	2199.00
454.1193	2204.00
454.6132	2206.00
455.1070	2208.00
455.6006	2193.00
456.0942	2197.00
456.5876	2201.00
457.0810	2199.00
457.5742	2189.00
458.0673	2180.00
458.5604	2180.00
459.0533	2188.00
459.5461	2210.00
460.0388	2213.00
460.5313	2209.00
461.0238	2204.00
461.5162	2206.00
462.0084	2189.00
462.5006	2202.00
462.9926	2217.00
463.4845	2229.00
463.9763	2227.00
464.4681	2220.00
464.9596	2211.00
465.4511	2207.00
465.9425	2221.00
466.4338	2220.00
466.9250	2220.00
467.4160	2228.00
467.9070	2222.00
468.3978	2230.00
468.8885	2210.00
469.3791	2206.00
469.8696	2207.00
470.3600	2199.00
470.8503	2192.00
471.3405	2199.00
471.8306	2211.00
472.3205	2211.00
472.8104	2208.00
473.3001	2224.00
473.7898	2217.00
474.2793	2211.00
474.7687	2205.00
475.2580	2214.00
475.7472	2210.00
476.2363	2214.00
476.7253	2213.00
477.2142	2203.00
477.7029	2196.00
478.1916	2195.00
478.6801	2189.00
479.1686	2192.00
479.6569	2194.00
480.1451	2193.00
480.6332	2203.00
481.1212	2211.00
481.6091	2213.00
482.0969	2206.00
482.5846	2197.00
483.0721	2200.00
483.5596	2220.00
484.0469	2222.00
484.5342	2195.00
485.0213	2196.00
485.5083	2205.00
485.9952	2201.00
486.4820	2205.00
486.9687	2215.00
487.4553	2209.00
487.9418	2201.00
488.4282	2192.00
488.9144	2199.00
489.4006	2206.00
489.8866	2212.00
490.3725	2202.00
490.8583	2215.00
491.3441	2229.00
491.8297	2231.00
492.3151	2213.00
492.8005	2218.00
493.2858	2202.00
493.7710	2189.00
494.2560	2196.00
494.7410	2202.00
495.2258	2195.00
495.7105	2206.00
496.1952	2199.00
496.6797	2206.00
497.1641	2215.00
497.6484	2197.00
498.1325	2193.00
498.6166	2193.00
499.1006	2205.00
499.5844	2199.00
500.0682	2191.00
500.5518	2202.00
501.0354	2213.00
501.5188	2207.00
502.0021	2216.00
502.4853	2203.00
502.9684	2192.00
503.4514	2195.00
503.9342	2194.00
504.4170	2190.00
504.8997	2188.00
505.3822	2191.00
505.8647	2196.00
506.3470	2208.00
506.8292	2209.00
507.3113	2226.00
507.7933	2228.00
508.2752	2213.00
508.7570	2192.00
509.2387	2200.00
509.7202	2194.00
510.2017	2202.00
510.6831	2195.00
511.1643	2208.00
511.6454	2216.00
512.1264	2216.00
512.6074	2215.00
513.0882	2229.00
513.5689	2226.00
514.0494	2222.00
514.5299	2221.00
515.0103	2208.00
515.4905	2203.00
515.9707	2212.00
516.4507	2203.00
516.9307	2201.00
517.4105	2206.00
517.8902	2202.00
518.3698	2200.00
518.8493	2204.00
519.3287	2201.00
519.8080	2191.00
520.2871	2185.00
520.7662	2189.00
521.2451	2201.00
521.7240	2219.00
522.2027	2207.00
522.6813	2210.00
523.1598	2206.00
523.6382	2222.00
524.1165	2198.00
524.5947	2206.00
525.0728	2207.00
525.5508	2217.00
526.0286	2230.00
526.5064	2225.00
526.9840	2219.00
527.4616	2209.00
527.9390	2207.00
528.4163	2207.00
528.8935	2202.00
529.3706	2202.00
529.8476	2214.00
530.3245	2206.00
530.8012	2212.00
531.2779	2216.00
531.7544	2214.00
532.2309	2216.00
532.7072	2214.00
533.1834	2235.00
533.6595	2224.00
534.1355	2238.00
534.6114	2230.00
535.0872	2227.00
535.5629	2236.00
536.0385	2223.00
536.5139	2219.00
536.9893	2212.00
537.4645	2209.00
537.9397	2207.00
538.4147	2204.00
538.8896	2211.00
539.3644	2211.00
539.8391	2219.00
540.3137	2230.00
540.7882	2220.00
541.2625	2207.00
541.7368	2217.00
542.2110	2204.00
542.6850	2202.00
543.1589	2209.00
543.6328	2213.00
544.1065	2219.00
544.5801	2223.00
545.0536	2224.00
545.5270	2225.00
546.0002	2215.00
546.4734	2212.00
546.9465	2214.00
547.4194	2212.00
547.8923	2226.00
548.3650	2237.00
548.8376	2227.00
549.3101	2220.00
549.7826	2202.00
550.2548	2204.00
550.7270	2202.00
551.1991	2200.00
551.6711	2212.00
552.1430	2209.00
552.6147	2196.00
553.0863	2206.00
553.5579	2205.00
554.0293	2200.00
554.5006	2207.00
554.9718	2218.00
555.4429	2209.00
555.9139	2202.00
556.3848	2206.00
556.8556	2220.00
557.3262	2208.00
557.7968	2214.00
558.2672	2217.00
558.7376	2225.00
559.2078	2218.00
559.6779	2198.00
560.1479	2206.00
560.6178	2210.00
561.0876	2201.00
561.5573	2206.00
562.0269	2215.00
562.4963	2219.00
562.9657	2203.00
563.4349	2203.00
563.9041	2207.00
564.3731	2207.00
564.8420	2205.00
565.3108	2219.00
565.7795	2214.00
566.2481	2211.00
566.7166	2209.00
567.1849	2223.00
567.6532	2221.00
568.1214	2208.00
568.5894	2202.00
569.0573	2205.00
569.5252	2206.00
569.9929	2201.00
570.4605	2196.00
570.9280	2209.00
571.3954	2213.00
571.8627	2220.00
572.3298	2211.00
572.7969	2220.00
573.2639	2226.00
573.7307	2224.00
574.1974	2213.00
574.6641	2201.00
575.1306	2209.00
575.5970	2212.00
576.0633	2209.00
576.5295	2200.00
576.9956	2191.00
577.4615	2198.00
577.9274	2192.00
578.3932	2188.00
578.8588	2184.00
579.3244	2194.00
579.7898	2200.00
580.2551	2200.00
580.7203	2198.00
581.1854	2197.00
581.6504	2194.00
582.1153	2195.00
582.5801	2197.00
583.0447	2193.00
583.5093	2191.00
583.9737	2195.00
584.4381	2194.00
584.9023	2182.00
585.3664	2195.00
585.8304	2185.00
586.2943	2171.00
586.7581	2177.00
587.2218	2186.00
587.6854	2177.00
588.1488	2166.00
588.6122	2181.00
589.0754	2193.00
589.5386	2191.00
590.0016	2203.00
590.4645	2222.00
590.9273	2215.00
591.3900	2204.00
591.8526	2190.00
592.3151	2183.00
592.7775	2193.00
593.2398	2201.00
593.7019	2206.00
594.1640	2211.00
594.6259	2212.00
595.0877	2201.00
595.5494	2192.00
596.0111	2183.00
596.4726	2180.00
596.9340	2193.00
597.3952	2193.00
597.8564	2199.00
598.3175	2198.00
598.7784	2199.00
599.2393	2189.00
599.7000	2192.00
600.1607	2192.00
600.6212	2197.00
601.0816	2198.00
601.5419	2196.00
602.0021	2200.00
602.4622	2187.00
602.9221	2189.00
603.3820	2204.00
603.8418	2194.00
604.3014	2187.00
604.7610	2195.00
605.2204	2201.00
605.6797	2193.00
606.1389	2190.00
606.5980	2201.00
607.0570	2201.00
607.5159	2193.00
607.9747	2187.00
608.4333	2173.00
608.8919	2180.00
609.3504	2190.00
609.8087	2201.00
610.2669	2188.00
610.7250	2189.00
611.1831	2188.00
611.6410	2208.00
612.0988	2220.00
612.5564	2219.00
613.0140	2214.00
613.4715	2223.00
613.9288	2224.00
614.3861	2223.00
614.8432	2215.00
615.3003	2209.00
615.7572	2210.00
616.2140	2206.00
616.6707	2205.00
617.1273	2212.00
617.5838	2208.00
618.0402	2206.00
618.4964	2192.00
618.9526	2200.00
619.4086	2207.00
619.8646	2204.00
620.3204	2193.00
620.7761	2188.00
621.2318	2180.00
621.6873	2193.00
622.1427	2201.00
622.5979	2191.00
623.0531	2181.00
623.5082	2185.00
623.9632	2200.00
624.4180	2206.00
624.8727	2199.00
625.3274	2209.00
625.7819	2212.00
626.2363	2213.00
626.6906	2197.00
627.1448	2202.00
627.5989	2209.00
628.0529	2213.00
628.5068	2219.00
628.9605	2217.00
629.4142	2215.00
629.8677	2218.00
630.3211	2223.00
630.7745	2214.00
631.2277	2204.00
631.6808	2199.00
632.1338	2197.00
632.5867	2214.00
633.0394	2223.00
633.4921	2215.00
633.9447	2228.00
634.3971	2224.00
634.8495	2218.00
635.3017	2220.00
635.7538	2224.00
636.2058	2217.00
636.6578	2211.00
637.1095	2197.00
637.5612	2195.00
638.0128	2198.00
638.4643	2203.00
638.9156	2203.00
639.3669	2208.00
639.8180	2211.00
640.2691	2210.00
640.7200	2210.00
641.1708	2207.00
641.6215	2212.00
642.0721	2204.00
642.5226	2205.00
642.9730	2196.00
643.4233	2181.00
643.8734	2175.00
644.3235	2189.00
644.7734	2186.00
645.2233	2179.00
645.6730	2185.00
646.1226	2201.00
646.5721	2197.00
647.0215	2196.00
647.4708	2197.00
647.9200	2187.00
648.3690	2193.00
648.8180	2193.00
649.2669	2196.00
649.7156	2197.00
650.1642	2193.00
650.6128	2192.00
651.0612	2194.00
651.5095	2192.00
651.9577	2198.00
652.4058	2197.00
652.8538	2204.00
653.3016	2204.00
653.7494	2190.00
654.1970	2189.00
654.6446	2180.00
655.0920	2190.00
655.5394	2174.00
655.9866	2190.00
656.4337	2189.00
656.8807	2184.00
657.3276	2178.00
657.7743	2182.00
658.2210	2187.00
658.6676	2189.00
659.1140	2180.00
659.5604	2180.00
660.0066	2186.00
660.4527	2201.00
660.8988	2197.00
661.3447	2190.00
661.7905	2177.00
662.2362	2174.00
662.6817	2189.00
663.1272	2206.00
663.5726	2201.00
664.0178	2201.00
664.4630	2198.00
664.9080	2190.00
665.3529	2166.00
665.7978	2182.00
666.2425	2187.00
666.6871	2191.00
667.1316	2189.00
667.5759	2189.00
668.0202	2185.00
668.4644	2191.00
668.9084	2186.00
669.3524	2193.00
669.7962	2184.00
670.2400	2181.00
670.6836	2183.00
671.1271	2180.00
671.5705	2178.00
672.0138	2182.00
672.4570	2189.00
672.9000	2199.00
673.3430	2192.00
673.7859	2198.00
674.2286	2203.00
674.6712	2192.00
675.1138	2195.00
675.5562	2201.00
675.9985	2197.00
676.4407	2188.00
676.8828	2192.00
677.3248	2191.00
677.7666	2180.00
678.2084	2197.00
678.6501	2194.00
679.0916	2181.00
679.5331	2183.00
679.9744	2192.00
680.4156	2190.00
680.8567	2202.00
681.2977	2197.00
681.7386	2185.00
682.1794	2184.00
682.6201	2177.00
