# Efficiency of Typical StellarNet CCD Detectors with Phosphor
# Coating for UV Enhanced Sensitivity
# Note: Doesn't include contributions from grattings or other optical elements
# Note: The data was extracted from a pdf plot
# Original data source 
# https://www.stellarnet.us/wp-content/uploads/StellarNet-Typical-Detector-Efficiency-Curve.pdf
wavelength,QE
200,0.3991424822240569
203,0.4010036145464213
206,0.3976163876935257
209,0.394217150462153
212,0.3902755635187696
215,0.38790035252898347
218,0.3878945945635083
221,0.38880478947684927
224,0.3893422960056817
227,0.3897022426189263
230,0.3905942959846398
233,0.3905862577164838
236,0.39150180080498365
239,0.39170169621035633
242,0.3924006234943165
245,0.3932623490651195
248,0.3932699575422751
251,0.3988346456554699
254,0.4131090077549482
257,0.4272561681056465
260,0.4403129417824314
263,0.453495989331097
266,0.4678930468444522
269,0.4812246159573361
272,0.49469243035897137
275,0.5089237457907075
278,0.5234259897364938
281,0.5365474211009214
284,0.5492844095973207
287,0.5619822378620838
290,0.5751480736921801
293,0.5878618766956256
296,0.6005758744204763
299,0.6132919071071885
302,0.623610371484948
305,0.6279302338592486
308,0.6321588718596545
311,0.6356732673443867
314,0.6395972911304647
317,0.6430073860833885
320,0.646972201242605
323,0.6503683460931166
326,0.6543043506423782
329,0.6577816633629238
332,0.6616119605712787
335,0.6652463267223462
338,0.6689126399566515
341,0.6731728972855718
344,0.6783013572454549
347,0.6839098105908346
350,0.6893819401695594
353,0.6951367521954647
356,0.7004501142028708
359,0.7063699993824241
362,0.7115331557987928
365,0.7175367671545001
368,0.7226019299200075
371,0.7286224260305217
374,0.7336509974539706
377,0.7399587014313386
380,0.7467190974931874
383,0.7534204880368498
386,0.7596925230109474
389,0.766306380931636
392,0.7727302991083408
395,0.77949286944473
398,0.7860282721403546
401,0.7947835206914801
404,0.810493191592689
407,0.8320766738799793
410,0.8579972883221286
413,0.8784929171450397
416,0.8940023278303263
419,0.9038715232935174
422,0.9128905282347154
425,0.9223977594854214
428,0.9368419569911286
431,0.9479613323458306
434,0.9588609580776912
437,0.9685551090338573
440,0.9732559882818053
443,0.9768088228127682
446,0.9806603581001334
449,0.9845992602820242
452,0.9866215010767809
455,0.9866190850647018
458,0.9866192868901866
461,0.9861007192171358
464,0.9888268165564774
467,0.9918805707727723
470,0.9953322571438474
473,0.9970061799288462
476,0.994073197972907
479,0.9910730188679651
482,0.9876208573465755
485,0.9798513751809078
488,0.9666577727539762
491,0.9543880657203414
494,0.9426012515247173
497,0.9357702330131226
500,0.9311976061720804
503,0.9260530289650598
506,0.920966543373857
509,0.9130650799859545
512,0.9131282882367726
515,0.9131283250429958
518,0.9131367728751817
521,0.9091745947247258
524,0.9017184351179475
527,0.8937159356738547
530,0.8846574779066612
533,0.8738729552150979
536,0.8579357801729148
539,0.8448569722837604
542,0.8339411477315068
545,0.8265285181713721
548,0.8182638631049438
551,0.8105933391162993
554,0.8057174752743933
557,0.8016686161881501
560,0.7983144348799011
563,0.794169033894541
566,0.790524811673959
569,0.7858693900763377
572,0.7807235179680165
575,0.7761191505322925
578,0.7722978912842798
581,0.7691116100984705
584,0.7658450264359483
587,0.7628764800232333
590,0.758295382210854
593,0.7537079743490414
596,0.7490659217353084
599,0.7444851009294617
602,0.7393689264142973
605,0.7347274411030182
608,0.7300781277699653
611,0.7245384936710991
614,0.7182341558671447
617,0.7119381793834051
620,0.7056911003285352
623,0.69902660728669
626,0.6918420777236689
629,0.6837067031671478
632,0.676206391745625
635,0.6699916514792783
638,0.6683727312657203
641,0.6665013875698392
644,0.6650972169162974
647,0.6683078229356213
650,0.6750398166983382
653,0.6811942610800357
656,0.6871639993284953
659,0.6890716275532107
662,0.6904518932372138
665,0.6921932993948682
668,0.6918159529608015
671,0.6848312612477914
674,0.6789173962365138
677,0.6724363149525846
680,0.6658922912605998
683,0.6553043219920026
686,0.6426172887637038
689,0.6303451466885819
692,0.6167276995677076
695,0.6011026239628904
698,0.5858948519209457
701,0.5697358133338786
704,0.5570138479963715
707,0.5473888970030435
710,0.5381131784236197
713,0.5285865946653832
716,0.5281478084192149
719,0.5294811807554984
722,0.5309344164361218
725,0.5330889458533418
728,0.5364887342439305
731,0.5405950638100643
734,0.5443164299072558
737,0.5479856493003565
740,0.5512542249183447
743,0.5545946573591288
746,0.5580170045715179
749,0.5615245701127233
752,0.5582915420135988
755,0.5553515396201142
758,0.5518181063739035
761,0.5467607666234054
764,0.5359222913204078
767,0.5250242395293369
770,0.5135987720601142
773,0.5008657710826779
776,0.48683067228230625
779,0.4728925957670268
782,0.45917796729865445
785,0.4473915307393408
788,0.4356078299535675
791,0.4244221842068573
794,0.4133397246321586
797,0.40271344336323667
800,0.39293369580105975
803,0.3837094475610202
806,0.3743108333147376
809,0.3704775045035039
812,0.3690392599166282
815,0.36715328535116076
818,0.3658789594626157
821,0.3658806086078088
824,0.3658806087059172
827,0.3658806087053852
830,0.36588060870538497
833,0.36588060870538497
836,0.36588060870538497
839,0.36588060870538497
842,0.3658806087053852
845,0.36588060870558514
848,0.36588060862855476
851,0.3658799261964455
854,0.36493972878176584
857,0.3583405192842031
860,0.35208352175467805
863,0.3459516207762363
866,0.33863244480339905
869,0.330808536626237
872,0.3229493354154489
875,0.31482190085917905
878,0.3058116094756429
881,0.29633392141793213
884,0.2870722093694458
887,0.2778570630001902
890,0.2685578840568439
893,0.25870028655318644
896,0.24906862694912069
899,0.24173974024076683
902,0.23535976725589713
905,0.2291167403140455
908,0.2228788786414131
911,0.2165441822388563
914,0.21179360920857282
917,0.20716225192225024
920,0.20261087140354905
